rank,name,wins,losses,ranking_points
1,Alabama,11,0,47.6295
2,Clemson,10,1,39.6956
3,Notre Dame,10,1,31.6319
4,Cincinnati,9,0,30.589
5,Coastal Carolina,11,0,30.3896
6,Ohio State,6,0,29.7055
7,Oklahoma,8,2,27.2815
8,Texas A&M,8,1,26.3943
9,Brigham Young,10,1,24.9044
10,Iowa State,8,3,24.3656
11,Louisiana,9,1,22.8471
12,Miami (FL),8,2,22.0585
13,North Carolina,8,3,22.0501
14,San Jose State,7,0,21.4853
15,Florida,8,3,21.0568
16,Georgia,7,2,20.6022
17,Indiana,6,1,19.1305
18,Ball State,6,1,17.5085
19,Southern California,5,1,16.8222
20,Oklahoma State,7,3,16.1373
21,Buffalo,5,1,15.859
22,Liberty,9,1,15.8475
23,North Carolina State,8,3,15.1632
24,Texas,6,3,14.9972
25,Northwestern,6,2,14.9791
26,Iowa,6,2,14.5945
27,Tulsa,6,2,12.1503
28,Utah,3,2,12.1363
29,Colorado,4,1,12.0479
30,Oregon,4,2,10.9749
31,Army,9,2,10.3764
32,Washington,3,1,10.3713
33,Stanford,4,2,10.279
34,Texas Christian,6,4,9.63572
35,Marshall,7,2,8.9378
36,Alabama-Birmingham,6,3,8.48192
37,Appalachian State,8,3,8.37792
38,Auburn,6,4,8.0444
39,Miami (OH),2,1,6.49423
40,Boise State,5,2,5.91054
41,Central Florida,6,3,5.07102
42,Nevada,6,2,4.87568
43,West Virginia,5,4,3.58308
44,Pittsburgh,6,5,3.23712
45,Southern Methodist,7,3,3.20617
46,Wisconsin,3,3,3.08411
47,Toledo,4,2,2.96997
48,Virginia Tech,5,6,2.88378
49,Kent State,3,1,2.69379
50,Memphis,7,3,2.36505
51,Western Michigan,4,2,2.11762
52,Virginia,5,5,1.50403
53,UCLA,3,4,1.46035
54,Arizona State,2,2,1.36194
55,Louisiana State,5,5,0.734288
56,Wake Forest,4,4,0.238487
57,New Mexico State,0,0,0
58,Old Dominion,0,0,0
59,Ohio,2,1,-0.00608486
60,Boston College,6,5,-0.836383
61,Texas-San Antonio,7,4,-1.10263
62,Georgia Southern,7,5,-1.22926
63,San Diego State,4,4,-1.81856
64,Central Michigan,3,3,-2.70721
65,Louisiana Tech,5,4,-3.23971
66,Air Force,3,3,-3.24884
67,Florida Atlantic,5,3,-3.46514
68,Tulane,6,5,-3.84648
69,Georgia State,5,4,-3.85864
70,Maryland,2,3,-3.85987
71,Missouri,5,5,-3.87305
72,Penn State,4,5,-4.07774
73,Mississippi,4,5,-4.68578
74,Kansas State,4,6,-6.43025
75,Kentucky,4,6,-6.76025
76,Houston,3,4,-6.91781
77,Rice,2,3,-7.38744
78,Texas Tech,4,6,-7.88174
79,Nebraska,3,5,-7.95423
80,Hawaii,4,4,-8.65414
81,Minnesota,3,4,-8.73462
82,Washington State,1,3,-9.2712
83,Michigan State,2,5,-9.59106
84,California,1,3,-9.68519
85,Arkansas,3,7,-9.78009
86,Eastern Michigan,2,4,-9.82346
87,Purdue,2,4,-10.1005
88,Louisville,4,7,-10.6635
89,Mississippi State,3,7,-10.9179
90,Oregon State,2,5,-11.0288
91,Fresno State,3,3,-11.2443
92,Michigan,2,4,-11.4742
93,Tennessee,3,7,-12.0768
94,Florida State,3,6,-12.3528
95,Western Kentucky,5,6,-13.8604
96,Rutgers,3,6,-14.4915
97,Wyoming,2,4,-15.137
98,Troy,5,6,-15.4174
99,Baylor,2,7,-15.7783
100,Georgia Tech,3,7,-17.8384
101,Charlotte,2,4,-17.9037
102,East Carolina,3,6,-18.2771
103,Colorado State,1,3,-19.662
104,Arkansas State,4,7,-20.1046
105,New Mexico,2,5,-20.506
106,Texas-El Paso,3,5,-20.6842
107,North Texas,4,5,-21.255
108,Arizona,0,5,-22.175
109,South Carolina,2,8,-22.4774
110,Middle Tennessee State,3,6,-22.4942
111,Illinois,2,6,-22.7536
112,South Alabama,4,7,-23.9714
113,Southern Mississippi,3,7,-24.8056
114,Navy,3,7,-24.9451
115,Akron,1,5,-25.3637
116,Massachusetts,0,4,-26.2952
117,Duke,2,9,-29.4243
118,Florida International,0,5,-29.4542
119,Northern Illinois,0,6,-30.5747
120,Utah State,1,5,-30.6461
121,Syracuse,1,10,-32.6071
122,Bowling Green State,0,5,-33.4044
123,Texas State,2,10,-33.4067
124,Temple,1,6,-34.0894
125,South Florida,1,8,-34.6353
126,Nevada-Las Vegas,0,6,-36.8179
127,Kansas,0,9,-37.7477
128,Vanderbilt,0,9,-43.6112
129,Louisiana-Monroe,0,10,-53.0953
